
 S-Netz zu Lauf: 1

(24, 20); (33, 23)
(74, 13); (83, 14)
(109, 17); (115, 16)

 S-Netz zu Lauf: 2

(0, 80); (8, 69)
(34, 63); (43, 75)
(33, 23); (46, 20)
(33, 23); (28, 43)
(65, 55); (70, 69)
(74, 13); (83, 14)
(109, 17); (115, 16)

 S-Netz zu Lauf: 3

(0, 80); (8, 69)
(34, 63); (43, 75)
(0, 80); (19, 90)
(43, 75); (70, 69)
(43, 75); (34, 63)
(46, 20); (74, 13)
(46, 20); (33, 23)
(24, 20); (2, 28)
(2, 28); (24, 20)
(90, 117); (91, 113)
(115, 16); (109, 17)
(72, 82); (70, 69)
(81, 23); (82, 22)
(110, 10); (109, 17)

 S-Netz zu Lauf: 4

(0, 80); (8, 69)
(34, 63); (43, 75)
(0, 80); (19, 90)
(89, 80); (72, 82)
(81, 23); (82, 22)
(115, 16); (109, 17)
(110, 10); (109, 17)
(46, 20); (33, 23)
(24, 20); (2, 28)
(2, 28); (24, 20)
(46, 20); (74, 13)
(70, 69); (43, 75)
(38, 96); (43, 75)
(89, 80); (91, 113)
(91, 113); (119, 113)
